1,2024-01-01,250000.00,Tesla,Bus Model X,300.0,Elektryczny,2023-05-20,600.0,300.0,2.5,40,Miejski,100.0
2,2024-01-15,220000.00,Proterra,Catalyst E2,250.0,Elektryczny,2023-06-10,440.0,350.0,3.0,50,Miejski,90.0
3,2024-01-20,240000.00,BYD,K9,200.0,Elektryczny,2023-04-15,324.0,250.0,2.0,30,Miejski,85.0
4,2024-01-30,230000.00,Mercedes-Benz,eCitaro,150.0,Elektryczny,2023-07-22,292.0,200.0,4.0,35,Miejski,80.0
5,2024-02-10,260000.00,Volvo,7900 Electric,220.0,Elektryczny,2023-08-05,250.0,300.0,3.5,50,Miejski,85.0
6,2024-02-20,215000.00,Blue Bird,All American RE Electric,180.0,Elektryczny,2023-09-15,280.0,120.0,8.0,20,Szkolny,75.0
7,2024-03-01,200000.00,Yutong,E12,160.0,Elektryczny,2023-10-20,422.0,320.0,6.0,45,Miejski,80.0
8,2024-03-15,210000.00,New Flyer,Xcelsior Charge,230.0,Elektryczny,2023-11-30,600.0,280.0,2.5,55,Miejski,85.0
9,2024-03-25,225000.00,VDL,Citea SLFA-180 Electric,240.0,Elektryczny,2023-12-10,288.0,180.0,4.5,40,Miejski,90.0
10,2024-04-05,235000.00,Alexander Dennis,Enviro200EV,210.0,Elektryczny,2024-01-20,350.0,250.0,3.0,42,Miejski,80.0
11,2024-04-15,245000.00,Scania,Citywide LF Electric,250.0,Elektryczny,2024-02-05,300.0,200.0,5.0,50,Miejski,85.0
12,2024-04-25,220000.00,Arriva,Electric Bus,200.0,Elektryczny,2024-03-10,280.0,220.0,4.0,45,Miejski,80.0
13,2024-05-05,230000.00,Solaris,Urbino 12 electric,220.0,Elektryczny,2024-04-15,240.0,270.0,3.5,50,Miejski,85.0
14,2024-05-15,245000.00,MAN,Lion's City E,230.0,Elektryczny,2024-05-01,480.0,270.0,3.0,45,Miejski,90.0
15,2024-05-25,250000.00,King Long,E12,210.0,Elektryczny,2024-05-20,350.0,300.0,6.0,50,Miejski,85.0
16,2024-02-02,2200.0,MAN,XO0,2000.0,4WD,2022-03-02,200.0,6000.0,3.0,35,Przewoz osob,70.0
17,2024-02-02,2200.0,MAN,XO0,2000.0,4WD,2022-03-02,200.0,6000.0,3.0,35,Przewoz osob,70.0
